Coluna     ,Espaço_CSV ,Test_INT ,Test_FLOAT ,Test_CAT  ,Test_OBJ
UF_ZI      ,  53386068 ,26693100 ,  26693100 , 13425776 ,53386068
ANO_CMPT   ,  53386068 ,13346616 ,  26693100 ,  6673490 ,53386068
MES_CMPT   ,  53386068 , 6673374 ,  26693100 ,  6673770 ,53386068
ESPEC      ,  53386068 , 6673374 ,  26693100 ,  6674034 ,53386068
CGC_HOSP   ,  53386068 ,         ,  53386068 , 13505304 ,53386068
N_AIH      ,  53386068 ,53386068 ,  53386068 ,349677452 ,53386068
IDENT      ,  53386068 , 6673374 ,  26693100 ,  6673498 ,53386068
CEP        ,  53386068 ,26693100 ,  53386068 , 47083020 ,53386068
MUNIC_RES  ,  53386068 ,26693100 ,  26693100 , 13523416 ,53386068
NASC       ,  53386068 ,26693100 ,  53386068 , 28056612 ,53386068
SEXO       ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
UTI_MES_IN ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
UTI_MES_AN ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
UTI_MES_AL ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
UTI_MES_TO ,  53386068 ,13346616 ,  26693100 , 13351984 ,53386068
MARCA_UTI  ,  53386068 , 6673374 ,  26693100 ,  6673770 ,53386068
UTI_INT_IN ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
UTI_INT_AN ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
UTI_INT_AL ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
UTI_INT_TO ,  53386068 ,13346616 ,  26693100 ,  6676166 ,53386068
DIAR_ACOM  ,  53386068 ,13346616 ,  26693100 , 13351976 ,53386068
QT_DIARIAS ,  53386068 ,13346616 ,  26693100 , 13356776 ,53386068
PROC_SOLIC ,  53386068 ,26693100 ,  53386068 , 13426072 ,53386068
PROC_REA   ,  53386068 ,26693100 ,  53386068 , 13425944 ,53386068
VAL_SH     ,  53386068 ,53386068 ,  53386068 , 38134692 ,53386068
VAL_SP     ,  53386068 ,53386068 ,  53386068 , 31765468 ,53386068
VAL_SADT   ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
VAL_RN     ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
VAL_ACOMP  ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
VAL_ORTP   ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
VAL_SANGUE ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
VAL_SADTSR ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
VAL_TRANSP ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
VAL_OBSANG ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
VAL_PED1AC ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
VAL_TOT    ,  53386068 ,53386068 ,  53386068 , 46838636 ,53386068
VAL_UTI    ,  53386068 ,53386068 ,  53386068 , 13509560 ,53386068
US_TOT     ,  53386068 ,53386068 ,  53386068 , 37669700 ,53386068
DT_INTER   ,  53386068 ,26693100 ,  53386068 , 13390560 ,53386068
DT_SAIDA   ,  53386068 ,26693100 ,  53386068 , 13367320 ,53386068
DIAG_PRINC ,  53386068 ,         ,           , 13670688 ,53386068
DIAG_SECUN ,  53386068 ,         ,           , 13673048 ,53386068
COBRANCA   ,  53386068 , 6673374 ,  26693100 ,  6674670 ,53386068
NATUREZA   ,  53386068 , 6673374 ,  26693100 ,  6673738 ,53386068
NAT_JUR    ,  53386068 ,         ,  26693100 ,  6674130 ,53386068
GESTAO     ,  53386068 , 6673374 ,  26693100 ,  6673498 ,53386068
RUBRICA    ,  53386068 , 6673374 ,  26693100 ,  6673490 ,53386068
IND_VDRL   ,  53386068 , 6673374 ,  26693100 ,  6673498 ,53386068
MUNIC_MOV  ,  53386068 ,26693100 ,  26693100 , 13505392 ,53386068
COD_IDADE  ,  53386068 , 6673374 ,  26693100 ,  6673578 ,53386068
IDADE      ,  53386068 , 6673374 ,  26693100 ,  6678342 ,53386068
